NCTId,BriefTitle,Condition,EligibilityCriteria,Location,StudyType,OverallStatus,HasResults
NCT04401592,The Role of Galectins in the Non-invasive Diagnosis of Endometriosis,"['Endometriosis', 'Endometriosis Ovary', 'Endometriosis Rectovaginal Septum']","Inclusion Criteria:

Histologically proved endometriosis

Exclusion Criteria:

Previous or current hormone therapy",,OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT05976529,"A Multicenter, Observational Clinical Study of Dydrogesterone","['Endometriosis', 'Endometriosis Ovary']","Inclusion Criteria:

* Patients who had undergone laparoscopic ovarian cyst excision and were confirmed by pathological diagnosis as ovarian endometriosis cyst (pathology was completed in each central hospital).
* Ovarian cyst \>4cm.
* Concomitant infertility.
* Patients who fail to respond to medication.
* American Society of Reproductive Medicine(ASRM) stages were II-IV.
* No relevant therapeutic drugs, such as dydrogesterone, dienogest, GnRHa, etc., were used 3 months before treatment.
* No combined endocrine diseases.

Exclusion Criteria:

* Ovulation disorders, immune defects and genital development abnormalities caused by infertility.
* Patients who are allergic to the drugs used in this study.
* Patients with severe hepatorenal insufficiency or malignant tumor.
* Those who took hormone medication within 3 months before the study date.","['Guangdong, China']",OBSERVATIONAL,RECRUITING,False
NCT05162794,Is Laparoscopic Excision for Peritoneal Endometriosis Helpful or Harmful?,['Endometriosis; Peritoneum'],"Inclusion Criteria:

* Adult (≥ 18 years) with suspected peritoneal endometriosis undergoing elective surgery for pain relief
* Pain intensity ≥ 5 on Numeric Rating Scale (NRS) in the four weeks prior to giving consent

Exclusion Criteria:

* Other known conditions/diseases that may cause pelvic pain
* Diagnosed personality disorder, schizophrenia or treatment with anti-psychotics
* Planned pregnancy during study period
* Women who cannot read or speak Danish","['Central Jutland Region, Denmark', 'Denmark', 'Denmark', 'Denmark', 'Denmark']",INTERVENTIONAL,RECRUITING,False
NCT06785129,Endometriosis and Migraine,"['Migraine', 'Endometriosis']","Inclusion Criteria:

1. Patients with diagnosed endometriosis, migraine, or both endometriosis and migraine
2. Healthy control subjects with no history of chronic pain
3. Age 12-45
4. Assigned female sex at birth

Exclusion Criteria:

1. Pregnancy or breastfeeding
2. Presence of prolactinoma
3. Presence of psychiatric, neurological, endocrinological and/or developmental conditions and taking medications for these conditions
4. Current use of dopamine agonist or SSRI medications
5. For patients aged 12-17 not having a parent/legal guardian willing to sign the consent and answer surveys about their child's health","['Missouri, United States']",OBSERVATIONAL,RECRUITING,False
NCT06470594,"Superficial and Deep Endometriosis: Role of Systemic Inflammation as a Marker of Clinical, Surgical, and Reproductive Outcomes",['Endometriosis'],"Inclusion Criteria:

* Age between 18 and 45 years.
* Postoperative follow-up of at least 12 months;
* Signature of informed consent regarding laparoscopic surgical treatment.
* Signature of informed consent to the processing of personal data duly documented by medical records.

Exclusion Criteria:

* Failure to sign informed consent for laparoscopic surgical treatment
* Histologic diagnosis of borderline tumor and/or ovarian carcinoma and/or mucinous cystadenoma and/or germ cell tumor or other malignancy of the genital tract
* postoperative follow-up of less than 12 months;
* documented history of inflammatory, rheumatologic, or immunologic disease; and
* failure to provide informed consent for personal data processing.",['Italy'],OBSERVATIONAL,RECRUITING,False
NCT06592976,Effects of a Multi-strain Oral Probiotic on the Vaginal Microbiota Composition in Healthy Women and Women with Endometriosis,"['Endometriosis', 'Bacterial Vaginosis', 'Healthy Volunteer']","Inclusion Criteria:

* age between 20 and 40 years old;
* clinical diagnosis of endometriosis via gynecological examination and transvaginal ultrasound (TVUS);
* genital healthy condition as confirmed via gynecological examination.

Exclusion Criteria:

* pre-menarche or menopause status;
* diabetes, neoplastic diseases, urinary or genital infections in the past 6 months
* bowel and/or liver disorders;
* current treatment with oral contraceptive or progestins, prokinetics, antacids or proton pump in-hibitors;
* sexual activity in the week before sampling;
* recent or current antibiotic treatment (oral or topical);
* the use of probiotics and/or prebiotics for three months before the enrolment.","['Lazio, Italy']",INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT06553989,Impact on Quality of Life of Osteopathic Visceral Mobilizations After Endometriosis Surgery,"['Endometriosis', 'Osteopathy in Diseases Classified Elsewhere']","Inclusion Criteria:

* Woman of legal age
* Indication for surgery for infiltrating endometriosis
* Able to give informed consent to participate in research
* Patient included in NO ENDO (national endometriosis observatory promoted by Clermont-Ferrand University Hospital)

Exclusion Criteria:

* Indication for surgery for superficial endometriosis
* Patient of legal age, under guardianship or trusteeship
* Pregnant or breast-feeding patient
* Patients not affiliated to the social security system
* Patients who do not speak French
* Patients under court protection
* Simultaneous participation in another study
* Refusal to participate.",['France'],INTERVENTIONAL,RECRUITING,False
NCT06611501,Glycemic Regulation As Endometriosis Adjunct Treatment,"['Pelvic Pain', 'Endometriosis']","Inclusion Criteria:

* Female with surgically confirmed endometriosis, determined at laparoscopy
* Current use for at least 2 months duration of a consistent hormonal therapy for endometriosis (either combination hormonal contraceptives or progestin-only therapy)
* Current pelvic pain (score ≥ 3 on Visual Analog Scale) that has been present for at least 2 months prior to enrollment
* Age 15 years to 35 years and premenopausal
* Willingness to comply with visit schedule and protocol

Exclusion Criteria:

* Pre-menarche or post-menopause
* Diagnosis of Type 1 or Type 2 Diabetes Mellitus
* Severe renal dysfunction (creatinine \&gt;1.4 mg/dL or eGFR below 45 mL/minute/1.73 m2
* History of lactic acidosis or diabetic ketoacidosis
* ALT or AST \&gt; 2.5 times the upper limit of normal
* Significant mental or chronic systemic illness that might confound pain assessment or the inability to complete the study
* Current/planning pregnancy or breastfeeding
* Inability to read English","['Massachusetts, United States']",INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT05245695,Deep Neural Network Stratification for Use Detecting Endometriosis in Women Affected by Chronic Pelvic Pain (EndoCheck),['Endometriosis'],"Inclusion Criteria:

* Participant is willing and able to provide written informed consent.
* Participant is a female aged 14 to 50 years old at time of consent.
* Participant is scheduled to undergo laparotomy or laparoscopy for symptomology consistent with possible endometriosis

Exclusion Criteria:

* Participant is a female in a pre-menarchal state.
* Participant is pregnant.
* Participant has an active malignancy.
* Participant is known to have tested positive for human immunodeficiency virus or hepatitis A, B, or C.
* Participant has an active pelvic infection or other infections contraindicated for surgery.
* Participant has participated (±3 months of study enrollment) in a clinical trial where an investigational drug/ device/ procedure was or is planned to be administered.
* Participant has any general health or behavioral condition that, in the opinion of the investigator, should exclude the participant from participation.
* Participant is under 14 years old or over 50 years old","['Arizona, United States', 'Arizona, United States', 'Delaware, United States', 'Georgia, United States', 'Georgia, United States', 'Indiana, United States', 'Maryland, United States', 'New York, United States', 'Ohio, United States', 'Pennsylvania, United States', 'Virginia, United States']",OBSERVATIONAL,RECRUITING,False
NCT06799767,Radiological Diagnostics in Patients with Deep Endometriosis,['Deep Endometriosis'],"Inclusion Criteria:

* Clinical and ultrasound diagnosis of deep endometriosis, with or without ovarian endometriosis, with indication for MRI for further diagnosis and subsequent candidate for laparoscopic surgical treatment of the pathology
* Age between 18 and 40 years
* Obtaining informed consent

Exclusion Criteria:

* Previous abdominal surgery
* Personal history of malignancy (current or previous)
* Chronic inflammatory bowel disease (Crohn's disease, Ulcerative Rectocolitis, Indeterminate Colitis), interstitial cystitis
* Personal history of Pelvic Inflammatory Disease (PID), active or previous
* Previous radiotherapy/chemotherapy
* Radiculopathy, herniated discs, spinal abnormalities and pathologies
* Laparotomic conversion during surgery",['Italy'],OBSERVATIONAL,RECRUITING,False
NCT06579040,The HEROES Trial: Hyperbaric Oxygen Therapy for Endometriosis-Related Pain,['Endometriosis-related Pain'],"Inclusion Criteria:

* Age ≥ 18 years old
* Patients having refractory pelvic pain (NRS≥4) secondary to endometriosis for \&gt;6 months
* May or may not be on traditional multi-modal treatment (pharmacological and/or non-pharmacological)
* On waitlist for surgical treatment

Exclusion Criteria:

* Patients with chronic pain resulting from disease processes unrelated to the pathophysiology of endometriosis-related symptoms (e.g. irritable bowel syndrome, migraine headache, fibromyalgia, chronic low back pain, and musculoskeletal injuries)
* Contraindications/medically unfit to receive hyperbaric treatments at an outpatient facility (e.g. pneumothorax, in-patients, requiring infusions to maintain hemodynamics, active and unstable coronary disease)
* Unlikely to comply with follow-up assessments (e.g. no fixed address, plans to move out of town)","['Ontario, Canada']",INTERVENTIONAL,RECRUITING,False
NCT05069740,Endometriosis and Microvascular Dysfunction: Role of Inflammation,['Endometriosis'],"Inclusion Criteria:

* Healthy women between the ages of 18 and 45 years (Controls), taking oral contraceptive or with regular menses every 26-34 days
* Women between the ages of 18 and 45 years with endometriosis (diagnosis by prior laparoscopy by subject's own physician \<5 years prior, and reported by the subject to the researchers)
* Tylenol if the subject has acute pain is allowed
* Contraceptive use is allowed

Exclusion Criteria:

* Use of nicotine-containing products (e.g. smoking, chewing tobacco, etc.)
* Diabetes (HbA1C 6.5%)
* BP\>140/90
* Taking pharmacotherapy that could alter peripheral vascular control (e.g. insulin sensitizing, cardiovascular medications)
* Pregnancy
* Breastfeeding
* Taking illicit and/or recreational drugs
* Abnormal liver function
* Rash, skin disease, disorders of pigmentation, known skin allergies
* Diagnosed or suspected metabolic or cardiovascular disease
* Persistent unexplained elevations of serum transaminases
* Known allergy to latex or investigative substances (including salsalate or simvastatin)
* History of gastrointestinal bleeding","['Pennsylvania, United States']",INTERVENTIONAL,RECRUITING,False
NCT06332560,Pain in Endometriosis And the Relation to Lifestyle,"['Endometriosis', 'Adenomyosis']","Inclusion Criteria:

* Age from 17 years
* Premenopausal status
* Body Mass Index (BMI) 18-30 kg/m2
* Ability to understand the explanation about the diet intervention (DI) and CBT
* Willing to follow the DI
* Willing to continue their use of food supplements
* Willing to undergo CBT
* Willing to collect menstrual effluent, and therefore willing to have two stop weeks from hormonal contraception (if applicable) during the study period.

Exclusion Criteria:

* Recurrent miscarriages (\> 2)
* Eating disorder
* Diagnosed with Crohn's disease, Ulcerative Colitis, short bowel syndrome or another chronic inflammatory disease
* Self-reported celiac disease
* Vegan diet
* Smoking
* Use of immunosuppressive or psychotropic medication
* Score on FFQ \> 120
* Diagnosed with severe mental disorder currently requiring treatment by psychiatrist
* NRS average score below 4 during the last month
* Participation in another intervention study
* Unable to speak Dutch or to understand the intervention
* Need for surgery during the participation in the study
* Serious pain (NRS \> 4) from other origin than endometriosis
* Pregnant
* Scalp hair shorter than 4 cm","['Netherlands', 'Netherlands', 'Netherlands', 'Netherlands', 'Netherlands']",INTERVENTIONAL,RECRUITING,False
NCT06873373,AI Based Real Time Detection of Endometriosis Lesions,['Endometriosis'],"Inclusion Criteria:

* Age ≥ 18 years
* Written consent after explanation
* Indication for surgical treatment of endometriosis

Exclusion Criteria:

* Expected lack of patient compliance or inability of the patient to understand the purpose of the clinical trial
* Absence of patient consent
* Malignancies",['Germany'],OBSERVATIONAL,RECRUITING,False
NCT05637073,Effect of Management of the Endometrioma on Ovarian Reserve,['Endometrioma'],"Inclusion Criteria:

* Caucasian premenopausal women between 18-39 years with the diagnosis of endometrioma, one or more, with a diameter of up to 7 cm by endovaginal ultrasound. Body mass index comprised between 17-30 Kg/m2

Exclusion Criteria:

* Previous ovarian surgery;
* Previous pathologies involving the ovary, including other ovarian tumors, polycystic ovaries, or pelvic inflammatory disease;
* Previous diagnosis of cancer treated with chemotherapy or local radiotherapy;
* Diseases affecting the endocrine system, diabetes, thyroid, hyperprolactinemia, or the immune system (lupus, Crohn,...);
* Genesic wish;
* Endometrioma \>7 cm;
* Unhealthy habits, including smoking, alcohol consumption above social level, or illicit drugs;
* Insufficient level of autonomy for unrestrictedly signing informed consent;
* Current or previous use of hormonal contraceptives, Gonadotropin-Releasing Hormone (GnRH) analogues, any drug with a known effect on endometriosis, or any drug under investigation, for what a washing up period of 6 months will be required in all cases.","['Poland', 'Spain']",OBSERVATIONAL,RECRUITING,False
NCT06787365,Questionnaire for the Assessment of Risk Factors Associated with Endometriosis in Adolescent Women with Endometriosis,['Endometriosis'],"Inclusion Criteria:

* Women of childbearing age between 20 and 50 years
* Clinical and ultrasound diagnosis of endometriosis for the study group and exclusion of endometriosis for the control group (examination and ultrasound performed according to the IDEA study criteria)
* Acquisition of informed consent for participation in the study and processing of personal data

Exclusion Criteria:

- Women suffering from other conditions responsible for pelvic pain (uterine fibromatosis, current or previous pelvic inflammatory disease, ovarian cysts of a non-endometriotic nature, irritable bowel syndrome, inflammatory bowel disease, interstitial cystitis)","['Italy', 'Italy']",OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT06773065,Central Awareness in Women With Endometriosis,['Endometriosis'],"Inclusion Criteria:

* Women with a clinical, ultrasound and/or surgical diagnosis of endometriosis
* Aged between 18 and 50 years
* Patients starting or already taking hormone therapy
* Patients coming for a first visit or outpatient follow-up visit
* Signature of informed consent to participate in the study

Exclusion Criteria:

* Post-menopausal women (spontaneous or iatrogenic)
* Virgo patients
* Patients with poor compliance with hormone therapy, who are not taking it properly or have discontinued therapy spontaneously
* Positive history of any malignant neoplasm
* Positive medical history of specific medical conditions that adversely affect the central nervous system, such as: brain or spinal cord damage, neurological diseases or peripheral nerve damage, multiple sclerosis",['Italy'],OBSERVATIONAL,RECRUITING,False
NCT06414720,Salivary microRNA in Endometriosis: Correlation With Response to Progestin Therapy,['Endometriosis'],"INCLUSION CRITERIA

* Age \> 18 years
* Fertile age
* Clinical-ultrasound diagnosis or histological diagnosis of endometriosis
* Informed consent

EXCLUSION CRITERIA

* Pregnancy
* Pre-menarcheal or post-menopausal status
* Chronic pelvic pain syndrome with or without central sensitization assessed with the Central Sensitization Inventory Test (CSI)
* Neoplasia, diabetes, BMI \> 30 kg/m2, coagulopathies, autoimmune diseases, or other conditions that may affect salivary miRNA measurement
* Currently undergoing progestin therapy","['UD, Italy']",OBSERVATIONAL,RECRUITING,False
NCT06020482,Molecular Markes of Fibrosis of Endometriosis and Their Use in Predicting Disease Severity,['Molecular Markers of Fibrosis of Single Types of Endometriosis and Their Use in Predicting Disease Severity'],"Inclusion Criteria:

* women (18-45 years)
* signed informed consent with the study
* absence of hormonal treatment 3 months before the planned procedure

Inclusion criteria for group A:

- laparoscopically and histologically confirmed endometriosis dg.

Inclusion criteria for group B:

* patients without endometriosis
* patients who are undergoing an elective laparoscopic or hysteroscopic procedure in our department for another benign indication
* patients with excluded malignant disease

Exclusion Criteria:

* absence of informed consent
* patients who do not meet the inclusion criteria during surgery
* patient younger than 18 years of age or older than 45 years of age",['Czechia'],OBSERVATIONAL,RECRUITING,False
NCT06314126,Evaluation of D-Chiro-Inositol Treatment in Women With Endometriosis,['Endometriosis'],"Inclusion Criteria:

* Women affected by endometriosis (regardless of the stage)

Exclusion Criteria:

* Treatment with hormones in the previous three months or during the study
* Treatment with Inositol and/or other insulin-sensitizers in the previous three months
* Obesity
* Diabetes
* Cancer (any site/stage)",['Italy'],INTERVENTIONAL,RECRUITING,False
NCT06118827,A Study of HS-10518 in Healthy Female Participants,['Endometriosis'],"Inclusion Criteria:

* • Subject is a healthy premenopausal female aged 18-45 (inclusive) at Screening;

  * Subject has a body weight ≥45kg with a body mass index (BMI) of 18-28 kg/m\^2 (inclusive);
  * Subject has a normal menstrual cycle for no less than 2 years (Cycle: 26-32 days, menstrual period: 2-7 days), and have a positive ovulation test in the cycle prior to drug administration;
  * Subject is willing to use highly effective, non-hormone contraceptive methods from signing the consent form until 3 months after the last dose;
  * Subject agrees to draw blood in pre-specified time points throughout the study and to attend the follow-up visit;
  * Subject is able to understand the purpose, process and potential adverse events of the study, and is willing to sign a written informed consent form.

Exclusion Criteria:

* • Subject took caffeine-rich or xanthine-rich food or drink (e.g. coffee, tea, chocolate, cola, etc.), tobacco or alcoholic products within 48 hours prior to drug administration;

  * Subject took any grapefruit, grapefruit juice or other products within 7 days prior to first dose of study drug;
  * Subject has a positive breath alcohol test or a history of alcohol abuse;
  * Subject is a heavy smoker, or smokes ≥5 cigarettes per day, or is not able to cease smoking during the study (including e-cigarette);
  * Subject has a history of drug abuse or a positive urine drug test;
  * Subject is pregnant, breastfeeding or has a positive pregnancy test at Screening",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06776627,Effectiveness of an Adapted Physical Activity Program on Improving the Health-related Quality of Life of Women with Endometriosis in Martinique,['Endometriosis'],"Inclusion Criteria:

* Adult woman of childbearing age,
* Clinico-radiological or clinico-histological diagnosis of endometriosis: laparoscopy with biopsy or MRI,
* History of endometriosis symptoms before diagnosis,
* Walking without technical assistance,
* Able to read and write,
* Patient wishing to improve her health by optimizing her lifestyle,
* Patient affiliated or beneficiary of a social security scheme,
* Patient having given free, informed and written consent.

Exclusion Criteria:

* Acute or terminal illness,
* Recent fracture of the upper or lower limbs (\< 3 months),
* Other chronic unstable or orthopedic illness that could interfere with the ability to participate in a physical activity program,
* Resting ECG at inclusion outside the normal range,
* Patients who practice moderate to intense physical activity for more than 150 minutes per week,
* Absolute contraindication to physical activity linked to severe co-morbidities,
* Patient placed under legal protection, guardianship or curatorship,
* Pregnant or breastfeeding woman.",['France'],INTERVENTIONAL,RECRUITING,False
NCT06852248,Ureteric Identification Using Indocyanine Green Dye Versus Conventional Ureteric Stenting to Reduce Post-operative Pain and Surgical Morbidity During Endometriosis Surgery,"['Endometriosis', 'Deep Endometriosis']","Inclusion Criteria:

* Women aged 18 to 50 years
* Scheduled for laparoscopic or robotic-assisted surgical excision of deep endometriosis (DE) where ureteric stenting is planned.
* Willing and able to provide consent for participation in the study

Exclusion Criteria:

* Confirmed or suspected pregnancy at the time of enrolment.
* Suspicion or confirmation of malignancy.
* History of ureteric injury from prior surgery or trauma
* Medically unfit for surgery due to the following conditions:

  * Uncontrolled diabetes mellitus.
  * Severe Chronic Obstructive Pulmonary Disease (COPD).
  * Hypertrophic cardiomyopathy or significant cardiac conditions (e.g., recent myocardial infarction, aortic stenosis).
  * History of stroke or severe kyphoscoliosis.
  * Uncontrolled hypertension.
* Body mass index (BMI): BMI greater than 45","['Staffordshire, United Kingdom']",OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT06141720,Feasibility of a Mindfulness Intervention for Endometriosis Surgery,"['Endometriosis', 'Pain', 'Mindfulness']","Inclusion Criteria:

1. age 18 years or older
2. diagnosis or probable diagnosis of endometriosis
3. candidate for surgical procedure for endometriosis
4. English speaking
5. have access to wifi and email

Exclusion Criteria:

1. prior formal mindfulness training
2. Unable to consent","['Pennsylvania, United States']",INTERVENTIONAL,RECRUITING,False
NCT06017531,Ultrasonographic Characterization of Parametrial Lesions in Deep Endometriosis: A Diagnostic-Accuracy Study (ULTRA-PARAMETRENDO III),['Endometriosis'],"Inclusion Criteria:

* clinical suspicion of DE, for which a preoperative transvaginal ultrasonographic assessment and laparoscopic surgical approach will be indicated;
* age \> or equal to 18 years
* informed consent for the participation in the study and for personal data treatment.

Exclusion Criteria:

* previous surgical diagnosis of parametrial DE;
* previous radiological diagnosis of parametrial DE including techniques used to diagnose DE (such as magnetic resonance \[MRI\], computed tomography-based virtual colonoscopy \[CTC\] or double-contrast barium enema);
* previous bilateral ovariectomy.","['Verona, Italy']",OBSERVATIONAL,RECRUITING,False
NCT06426420,Endometriosis and ATR-FTIR Spectroscopy,"['Endometriosis', 'Endometriomas']","Inclusion Criteria:

* Female
* Pelvic pain complain

Exclusion Criteria:

* Age under 18 or above 55
* Lack of informed consent","['Espírito Santo, Brazil']",INTERVENTIONAL,RECRUITING,False
NCT06472765,Vaginal Ecosystem and Network in the United States Study,"['Bacterial Vaginosis', 'Candidiasis', 'Urinary Tract Infections', 'Genitourinary Syndrome of Menopause', 'Lichen Sclerosus', 'Lichen Planus', 'Vulvodynia', 'Endometriosis', 'Ureaplasma Infections', 'Cancer', 'Desquamative Inflammatory Vaginitis']","Inclusion Criteria:

* Healthy cis-gender women between ages 18 and 89

Exclusion Criteria:

* Immunosuppressed or otherwise immunocompromised
* Pregnant or trying to conceive (i.e. IVF, IUI)","['California, United States', 'Hawaii, United States', 'Minnesota, United States', 'New York, United States', 'North Carolina, United States', 'Ohio, United States', 'Oklahoma, United States', 'Oregon, United States', 'Oregon, United States', 'Pennsylvania, United States', 'Virginia, United States']",OBSERVATIONAL,ENROLLING_BY_INVITATION,False
NCT06614465,"Multimodal Rehabilitation Programme on Epigenetic Biomarkers, Quality of Life, Sexual Function and Muscle Strength in Women With Dyspareunia and Endometriosis.",['Multidisciplinary Communication'],"Inclusion Criteria:

* Women diagnosed with endometriosis
* Women with dyspareunia and chronic pelvic pain
* Primary treatment with hormone therapy
* Ability to communicate fluently verbally and in writing in the language of the research team, in this case Spanish.
* Approval to participate in the study by your regular gynaecologist who is part of your diagnosis and treatment.

Exclusion Criteria:

* A neurological, oncological or autoimmune disease that prevents the participant from performing exercise.
* Any type of pathology that prevents the participant from performing exercise or intracavitary manual therapy.
* A diagnosis of severe psychiatric or neurological disorders that do not allow the participant to follow orders.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT03285230,The French E3N Prospective Cohort Study,"['Breast Cancer', 'Colo-rectal Cancer', 'Parkinson Disease', 'Asthma', 'Diabetes', 'Inflammatory Bowel Diseases', 'Melanoma', 'Endometriosis', 'Thyroid Cancer', 'Hypertension', 'Endometrial Cancer', 'Crohn Disease', 'Depression', 'Cardiovascular Diseases']","Inclusion Criteria:

* only women
* born between 1925 and 1950
* insured by the Mutuelle Générale de l'Education Nationale (MGEN)

Exclusion Criteria:

- men",,OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT06523530,Effect of a GnRH Analog on Hepatic Steatosis,"['Metabolic Dysfunction-Associated Steatotic Liver Disease', 'Nonalcoholic Fatty Liver', 'Endometriosis']","Inclusion Criteria:

* women of reproductive age
* diagnosis of endometriosis. The disease is suspected by patient's individual history (chronic pelvic pain, dyspareunia or/and dysmenorrhea) and the ultrasonographic imaging (chocolate cysts). The diagnosis is confirmed histologically, after laparoscopic surgical treatment and biopsy sampling, which will be interpreted by an independent blinded pathologist.
* use of contraceptives, which is the first line treatment, is contraindicated or the patient does not consent to receive contraceptives, due to personal preferences.
* written informed consent to participate to the study

Exclusion Criteria:

* mean ethanol consumption \>10 g/day
* history of other chronic liver disease (e.g., viral hepatitis, autoimmune hepatitis, primary sclerosing cholangitis, primary biliary cholangitis and overlap syndromes, drug-induced liver injury, hemochromatosis, Wilson's disease, α1-antitrypsin deficiency)
* liver cirrhosis
* any malignancy
* chronic kidney disease
* uncontrolled hypothyroidism or hyperthyroidism
* severe sexual hormone disorders (congenital adrenaline hyperplasia, Down syndrome, Turner syndrome).
* use of the following medications within a 12-month period before baseline, which are associated with drug-induced liver injury (DILI): interferon, tamoxifen, amiodarone, aloperidin, glucocorticoids, hormone replacement therapy, contraceptives, anabolic steroids, any medication against tuberculosis, epilepsy or viruses, methotrexate, parenteral nutrition
* use of the following medications within a 12-month period before baseline, which are probably associated with improvement in hepatic steatosis: vitamin E, pioglitazone, insulin, glucagon-like peptide-1 receptor agonists (GLP-1RAs), sodium- glucose co-transporter-2 inhibitors (SGLT-2i), orlistat, ursodeoxycholic acid
* use of any GnRH agonist or antagonist within a 12-month period before baseline","['Greece', 'Greece']",INTERVENTIONAL,RECRUITING,False
NCT06885125,Dietary Intervention to Improve Fertility in Women With Endometriosis Undergoing IVF,['Endometriosis'],"Inclusion Criteria:

* Age \< 40 years
* Pregnancy seeking for more than 12 months
* Regular menstrual cycle, i.e. mean cycle interval between 21 and 35 days
* Ultrasonographic diagnosis of ovarian endometriomas or deep peritoneal endometriosis.
* Antral Follicle Counts (AFC) ≥ 5 (no other cause of reduced ovarian reserve).
* Absence of ureteral stenosis or intestinal subocclusive symptoms

Exclusion Criteria:

* Contraindication to pregnancy
* Hydrosalpinx
* Endometriomas with a mean diameter \> 4 cm
* Submucosal fibroids or large intramural or subserosal fibroids (≥ 5 cm).
* Doubtful sonographic findings that do not allow to reliably rule out malignancy.
* severe male factor (\<1 million sperm/ml)",['Italy'],INTERVENTIONAL,RECRUITING,False
NCT05894135,Efficacy and Safety of BG2109 in Chinese Subjects With Endometriosis,"['Endometriosis', 'Moderate to Severe Endometriosis-associated Pain']","Key Inclusion Criteria:

1. The subject must be a premenopausal woman aged ≥18 years.
2. The subject must have had her most recent surgical and histological diagnosis of pelvic endometriosis (laparoscopy, laparotomy, vaginal fornix or other biopsy) within 10 years and at least 2 months ago prior to screening.
3. The subject has moderate to severe EAP during the screening period defined as:

   1. At the screening visit, a score of at least 2 for DYS and at least 2 for NMPP for the previous month assessed with the modified Biberoglu \& Behrman (mB\&B) scale
   2. Subject is confirmed to meet the following criteria during the screening period, within 35 consecutive calendar days prior to the baseline visit:

   i. Mean overall pelvic pain scores on the 0-10 NRS over the 5 days with the highest score ≥ 4; ii. At least two days with ""moderate"" or ""severe"" pain on the 0-3 VRS for pelvic pain over the days with uterine bleeding; iii. At least two days with ""moderate"" or ""severe"" pain on the 0-3 VRS for pelvic pain over the days without uterine bleeding;
4. The subject has a Body Mass Index (BMI) ≥ 18 kg/m2 at the screening visit

Key Exclusion Criteria:

1. The subject is pregnant or breastfeeding, or plans to become pregnant during the study treatment period.
2. The subject has a surgical history of:

   1. Hysterectomy,
   2. Bilateral oophorectomy,
   3. Surgeries that interfere with gastrointestinal motility, pH value, or absorption (including vagotomy, enterectomy, or gastric surgery),
   4. Any major abdominal surgery (including laparotomy for endometriosis) within 6 months or any interventional surgery for endometriosis (i.e. laparoscopy) performed within a period of 2 months before screening, or the subject is scheduled for a surgical abdominal procedure during the course of the study.
3. The subject may need to take prohibited medications during the study or in the stipulated time before screening
4. The subject has a contra-indication to ABT
5. The subject has chronic pelvic pain that, in the opinion of the Investigator, is not caused by endometriosis and requires chronic analgesic or other chronic therapy which would interfere with the assessment of EAP
6. The subject has conditions that affect bone mass density (BMD) assessment
7. The subject did not respond to prior treatment with GnRH agonists or GnRH antagonists for endometriosis",['China'],INTERVENTIONAL,RECRUITING,False
NCT05682235,Therapeutic Exercise and Education in Pain Neurophysiology to Improve Pain Intensity in Women With Endometriosis. Clinical Trial.,['Endometriosis'],"Inclusion Criteria:

* Women of reproductive age between 18 and 45 years.
* Women with a medical diagnosis of endometriosis.
* Women with visual analog scale (EVA) between 4 and 10 (moderate-severe pain) during the last 3 months in the suprapubic area, abdomen or perineum both continuously and intermittently.

Exclusion Criteria:

* Women who must have surgery during the study.
* Women who have undergone abdominal or pelvic surgery or who have given birth (vaginal or cesarean) in the last 6 months.
* Women who are pregnant or planning a pregnancy.
* Women with uncorrected pacemakers or coagulopathies, severe comorbid disorder, cancer (in the last 5 years or at present), severe mental disorders, or neuropathies affecting the nerves of the pelvis or lower extremities.
* Physiotherapy treatments or treatments related to pathology or study areas 15 days prior to the beginning of the study.
* Variations in medication in the 3 months prior to the start of the study.",['Spain'],INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT06254716,A Study on the Prognosis of Two Different Surgery Methods in Patients With Rectal Endometriosis,"['Gastrointestinal Function', 'Quality of Life', 'Pregnancy Outcomes']","Inclusion Criteria:

* Patients who underwent surgery of disc and segmental resection followed by anastomosis for endometriosis
* Endometriosis involving the full thickness of the rectum reaching the mucosa or submucosa during preoperative evaluation or intraoperative exploration, and who were diagnosed pathologically.

Exclusion Criteria:

* Patients who have previously undergone surgical treatment of rectal endometriosis
* Patients with insufficient preoperative evaluation (lack of pelvic imaging evaluation or colonoscopy evaluation) and surgical removal of lesions;
* Postoperative pathology shows rectal mucosa or The submucosa is not involved; patients with malignant tumors.","['Shanghai, China']",OBSERVATIONAL,RECRUITING,False
NCT03746535,Cardiovascular Disease Risk in Women With Endometriosis,['Endometriosis'],"Inclusion Criteria:

* Young women between the ages of 18 and 45 years (Controls);
* Young women between the ages of 18 and 45 years with endometriosis.

Exclusion Criteria:

* Subjects who smoke
* Subjects who have diabetes,
* Subjects with sleep apnea or BP\>140/90 will be excluded.
* Women with endometriosis and severe acute pain requiring immediate treatment will be excluded.","['Connecticut, United States']",INTERVENTIONAL,RECRUITING,False
